position,title
Q878217,President
Q1029958,Prime Minister
Q109923889,Deputy Prime Minister
Q109923932,"Minister of Agriculture, Forestry and Fisheries"
Q109923941,Minister of Education and Training
Q109923927,Minister of Finance
Q109923918,Minister of Foreign Affairs and External Trade
Q109923908,Minister of Health
Q109923895,Minister of Infrastructure and Public Utilities
Q109923891,Minister of Internal Affairs
Q109923898,Minister of Justice and Social Welfare
Q109924033,"Minister of Lands, Geology and Natural Resources"
Q109923911,Minister of Planning and Climate Change Adaptation
Q109923989,"Minister of Tourism, Commerce, Trades and Ni Vanuatu Business"
Q109923934,Minister of Youth and Sport
Q109923905,Speaker of the Parliament of Vanuatu
Q109924048,Governor of the Reserve Bank
